"","final","sprinkles","bike"
"243","No","No","Yes"
"244","No","No","No"
"245","No","No","Yes"
"246","No","No","No"
"247","No","No","Yes"
"248","No","Yes","Yes"
"249","Yes","Yes","Yes"
"250","Yes","Yes","No"
"251","No","Yes","Yes"
"252","No","No","No"
"253","No","No","Yes"
"254","Yes","No","No"
"255","No","No","Yes"
"256","No","Yes","Yes"
"257","Yes","Yes","Yes"
"258","No","Yes","Yes"
"259","No","Yes","Yes"
"260","No","No","Yes"
"261","Yes","Yes","Yes"
"262","No","Yes","Yes"
"263","No","Yes","Yes"
"264","Yes","No","Yes"
"265","Yes","Yes","Yes"
"266","No","No","Yes"
"267","No","No","Yes"
"268","No","Yes","No"
"269","No","No","Yes"
"270","No","No","Yes"
"271","No","Yes","Yes"
"272","No","Yes","Yes"
"273","Yes","Yes","No"
"274","Yes","No","Yes"
"275","No","Yes","Yes"
"276","No","No","Yes"
"277","No","No","Yes"
"278","No","No","Yes"
"279","Yes","No","Yes"
"280","No","Yes","Yes"
"281","No","Yes","Yes"
"282","No","Yes","No"
"283","No","No","Yes"
"284","No","No","Yes"
"285","No","Yes","No"
"286","No","No","Yes"
"287","No","Yes","Yes"
"288","No","Yes","Yes"
"289","Yes","No","No"
"290","No","No","Yes"
"291","Yes","No","Yes"
"292","No","Yes","Yes"
"293","No","No","Yes"
"294","Yes","No","No"
"295","No","No","Yes"
"296","Yes","No","Yes"
"297","No","No","No"
"298","No","Yes","Yes"
"299","Yes","No","Yes"
"300","Yes","Yes","Yes"
"301","No","No","Yes"
"302","No","No","Yes"
"303","No","Yes","Yes"
"304","Yes","Yes","Yes"
"305","Yes","Yes","Yes"
"306","Yes","No","No"
"307","Yes","No","No"
"308","No","Yes","Yes"
"309","No","Yes","Yes"
"310","Yes","No","No"
"311","Yes","Yes","No"
"312","No","No","Yes"
"313","No","No","Yes"
"314","Yes","No","Yes"
"315","No","No","No"
"316","Yes","No","Yes"
"317","No","Yes","Yes"
"318","No","Yes","No"
"319","No","Yes","Yes"
"320","No","No","Yes"
"321","No","No","No"
"322","Yes","Yes","Yes"
"323","No","Yes","No"
"324","Yes","No","Yes"
"325","No","Yes","Yes"
"326","Yes","No","Yes"
"327","Yes","Yes","No"
"328","No","Yes","Yes"
"329","No","No","Yes"
"330","No","No","No"
"331","No","Yes","No"
"332","Yes","No","No"
"333","No","No","No"
"334","No","No","Yes"
"335","No","No","Yes"
"336","Yes","No","Yes"
"337","Yes","No","No"
"338","No","No","No"
"339","No","Yes","Yes"
"340","No","Yes","Yes"
"341","No","No","No"
"342","Yes","Yes","Yes"
"343","No","Yes","Yes"
"344","No","Yes","No"
"345","No","No","Yes"
"346","No","Yes","Yes"
"347","Yes","No","Yes"
"348","Yes","Yes","Yes"
"349","No","No","Yes"
"350","No","Yes","Yes"
"351","Yes","No","Yes"
"352","Yes","Yes","Yes"
"353","No","No","Yes"
"354","No","No","Yes"
"355","No","No","No"
"356","No","No","Yes"
"357","Yes","Yes","No"
"358","Yes","No","Yes"
"359","No","No","Yes"
"360","No","No","Yes"
"361","No","No","No"
"362","Yes","No","Yes"
"363","Yes","No","Yes"
"364","Yes","Yes","No"
"365","Yes","No","Yes"
"366","No","Yes","Yes"
"367","No","Yes","No"
"368","No","No","Yes"
"369","Yes","Yes","Yes"
"370","No","Yes","Yes"
"371","No","Yes","Yes"
"372","Yes","No","Yes"
"373","No","No","Yes"
"374","No","No","Yes"
"375","No","No","Yes"
"376","No","Yes","No"
"377","No","Yes","Yes"
"378","No","Yes","Yes"
"379","Yes","No","Yes"
"380","No","No","Yes"
"381","No","Yes","Yes"
"382","No","Yes","Yes"
"383","No","Yes","No"
"384","Yes","Yes","Yes"
"385","No","Yes","Yes"
"386","Yes","No","Yes"
"387","No","No","Yes"
"388","Yes","Yes","Yes"
"389","No","No","Yes"
